centros
ACAHUALINCA
ALCIDES MIRANDA
AQUILES MACHADO
ARIEL DARCE
ARLEN SIU
ASTURIAS
AUGUSTO NICOLAS
BENEDICTO HERRERA
BERNARDINO DIAZ
BIDKAR MUÑOZ
BLANCA SEGOVIA
BLUEFIELDS
BLASS ABRAHAM
CAMILO ORTEGA
CARLOS MANUEL
CHE GUEVARA
CMDTE. CARLOS
CMTE. TOMAS BORGES
CORONEL URTECHO
DANTALÍ
EL CHELE MORENO
EL RAMA
ERNST THALMANN
EULOGIO HERNÁNDEZ
FABRETTO, CUSMAPA
FABRETTO, MANAGUA
FRANCISCO RIVERA
FRANCISCO SAMBOLA
GASPAR GARCIA
GERMAN POMARES
MIGUEL ANGEL ORTEZ
HÉROES DE BAWAS
HÉROES DE PAIWAS
HORIZONTE VALIENTE
HOTEL NICARAO
HOTELERIA Y TURISMO
HUGO CHAVEZ
IDIOMAS
JALAPA
JOSE DOLORES
JOSEFA TOLEDO
JUAN DE DIOS
